,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,RMSE
0,2,0,,"{'loss': 18.38331413269043, 'status': 'ok'}","{'tid': 0, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [0], 'div_factor': [0], 'loss_fn': [0], 'max_lighting': [0], 'max_rotate': [0], 'max_warp': [0], 'max_zoom': [0], 'model': [0], 'mom1': [0], 'mom2': [0], 'p_affine': [0], 'size': [0], 'weight_dec': [0]}, 'vals': {'a': [0], 'div_factor': [67.9969736438648], 'loss_fn': [0], 'max_lighting': [0.5823182541738126], 'max_rotate': [19.471515303122434], 'max_warp': [0.7626453446777449], 'max_zoom': [1.2822688668510236], 'model': [0], 'mom1': [0.548361107575015], 'mom2': [0.8962625571986257], 'p_affine': [0.40842627874834686], 'size': [0], 'weight_dec': [0.5875665026911765]}}",,,0,2022-01-09 09:55:21.473,2022-01-09 10:08:07.808,18.38331413269043
1,2,1,,"{'loss': 17.96098518371582, 'status': 'ok'}","{'tid': 1, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [1], 'div_factor': [1], 'loss_fn': [1], 'max_lighting': [1], 'max_rotate': [1], 'max_warp': [1], 'max_zoom': [1], 'model': [1], 'mom1': [1], 'mom2': [1], 'p_affine': [1], 'size': [1], 'weight_dec': [1]}, 'vals': {'a': [0], 'div_factor': [37.369876918068876], 'loss_fn': [0], 'max_lighting': [0.6771217542286481], 'max_rotate': [86.23645892821307], 'max_warp': [0.5979480759519124], 'max_zoom': [1.1130923149986836], 'model': [0], 'mom1': [0.7575824282558911], 'mom2': [0.8774659710629081], 'p_affine': [0.3131024216412672], 'size': [1], 'weight_dec': [0.7529657531185153]}}",,,0,2022-01-09 10:08:07.811,2022-01-09 10:21:27.731,17.96098518371582
2,2,2,,"{'loss': 17.82747459411621, 'status': 'ok'}","{'tid': 2, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [2], 'div_factor': [2], 'loss_fn': [2], 'max_lighting': [2], 'max_rotate': [2], 'max_warp': [2], 'max_zoom': [2], 'model': [2], 'mom1': [2], 'mom2': [2], 'p_affine': [2], 'size': [2], 'weight_dec': [2]}, 'vals': {'a': [0], 'div_factor': [50.766485230539345], 'loss_fn': [1], 'max_lighting': [0.5183905694000631], 'max_rotate': [164.3848446244221], 'max_warp': [0.592874124133776], 'max_zoom': [1.5264112969538506], 'model': [2], 'mom1': [0.6455229122139898], 'mom2': [0.8633194132959753], 'p_affine': [0.4784782760416956], 'size': [1], 'weight_dec': [0.3851202551472675]}}",,,0,2022-01-09 10:21:27.735,2022-01-09 10:34:57.822,17.82747459411621
3,2,3,,"{'loss': 17.632654190063477, 'status': 'ok'}","{'tid': 3, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [3], 'div_factor': [3], 'loss_fn': [3], 'max_lighting': [3], 'max_rotate': [3], 'max_warp': [3], 'max_zoom': [3], 'model': [3], 'mom1': [3], 'mom2': [3], 'p_affine': [3], 'size': [3], 'weight_dec': [3]}, 'vals': {'a': [0], 'div_factor': [22.90772655869758], 'loss_fn': [0], 'max_lighting': [0.7209148146176063], 'max_rotate': [126.7977185000526], 'max_warp': [0.8806763916371835], 'max_zoom': [2.099820157248308], 'model': [0], 'mom1': [0.7672953342173475], 'mom2': [0.956965633835297], 'p_affine': [0.07291154200470644], 'size': [2], 'weight_dec': [0.9191204783601382]}}",,,0,2022-01-09 10:34:57.825,2022-01-09 10:50:02.564,17.632654190063477
4,2,4,,"{'loss': 17.83294677734375, 'status': 'ok'}","{'tid': 4, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [4], 'div_factor': [4], 'loss_fn': [4], 'max_lighting': [4], 'max_rotate': [4], 'max_warp': [4], 'max_zoom': [4], 'model': [4], 'mom1': [4], 'mom2': [4], 'p_affine': [4], 'size': [4], 'weight_dec': [4]}, 'vals': {'a': [0], 'div_factor': [48.792060344678724], 'loss_fn': [1], 'max_lighting': [0.32613932706934956], 'max_rotate': [179.3163212037818], 'max_warp': [0.3123939395499982], 'max_zoom': [1.7499486062915504], 'model': [0], 'mom1': [0.6271458855645629], 'mom2': [0.8633280405098332], 'p_affine': [0.2700380388937961], 'size': [1], 'weight_dec': [0.5304529449291757]}}",,,0,2022-01-09 10:50:02.567,2022-01-09 11:03:18.899,17.83294677734375
5,2,5,,"{'loss': 17.951753616333008, 'status': 'ok'}","{'tid': 5, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [5], 'div_factor': [5], 'loss_fn': [5], 'max_lighting': [5], 'max_rotate': [5], 'max_warp': [5], 'max_zoom': [5], 'model': [5], 'mom1': [5], 'mom2': [5], 'p_affine': [5], 'size': [5], 'weight_dec': [5]}, 'vals': {'a': [0], 'div_factor': [62.718649132309466], 'loss_fn': [0], 'max_lighting': [0.6376018951928166], 'max_rotate': [65.55177701128054], 'max_warp': [0.7041576338146743], 'max_zoom': [2.1876968364869915], 'model': [0], 'mom1': [0.5757616964134452], 'mom2': [0.9463331318992843], 'p_affine': [0.7470397241949996], 'size': [1], 'weight_dec': [0.10156583817549364]}}",,,0,2022-01-09 11:03:18.903,2022-01-09 11:16:41.499,17.951753616333008
6,2,6,,"{'loss': 18.301769256591797, 'status': 'ok'}","{'tid': 6, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [6], 'div_factor': [6], 'loss_fn': [6], 'max_lighting': [6], 'max_rotate': [6], 'max_warp': [6], 'max_zoom': [6], 'model': [6], 'mom1': [6], 'mom2': [6], 'p_affine': [6], 'size': [6], 'weight_dec': [6]}, 'vals': {'a': [0], 'div_factor': [84.29697295258988], 'loss_fn': [1], 'max_lighting': [0.38448551825317917], 'max_rotate': [16.842746817959018], 'max_warp': [0.9006792141510169], 'max_zoom': [2.5141715714116097], 'model': [1], 'mom1': [0.6523916792344506], 'mom2': [0.8902370690964165], 'p_affine': [0.9171726451758666], 'size': [0], 'weight_dec': [0.5209283694746107]}}",,,0,2022-01-09 11:16:41.503,2022-01-09 11:29:23.422,18.301769256591797
7,2,7,,"{'loss': 18.43321990966797, 'status': 'ok'}","{'tid': 7, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [7], 'div_factor': [7], 'loss_fn': [7], 'max_lighting': [7], 'max_rotate': [7], 'max_warp': [7], 'max_zoom': [7], 'model': [7], 'mom1': [7], 'mom2': [7], 'p_affine': [7], 'size': [7], 'weight_dec': [7]}, 'vals': {'a': [0], 'div_factor': [41.16914310833291], 'loss_fn': [1], 'max_lighting': [0.17979493120778187], 'max_rotate': [90.77696762272979], 'max_warp': [0.3414718353913361], 'max_zoom': [2.2801746215887237], 'model': [1], 'mom1': [0.7093911781064822], 'mom2': [0.9504835979780714], 'p_affine': [0.9408494206152136], 'size': [0], 'weight_dec': [0.5716613845666967]}}",,,0,2022-01-09 11:29:23.425,2022-01-09 11:42:04.382,18.43321990966797
8,2,8,,"{'loss': 18.34467315673828, 'status': 'ok'}","{'tid': 8, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [8], 'div_factor': [8], 'loss_fn': [8], 'max_lighting': [8], 'max_rotate': [8], 'max_warp': [8], 'max_zoom': [8], 'model': [8], 'mom1': [8], 'mom2': [8], 'p_affine': [8], 'size': [8], 'weight_dec': [8]}, 'vals': {'a': [0], 'div_factor': [99.02503826944157], 'loss_fn': [0], 'max_lighting': [0.9849580976657578], 'max_rotate': [337.3081362804435], 'max_warp': [0.5841000205616499], 'max_zoom': [1.7714834762972325], 'model': [2], 'mom1': [0.6114627129359742], 'mom2': [0.8659221116095066], 'p_affine': [0.18741369180880207], 'size': [0], 'weight_dec': [0.6701674222875094]}}",,,0,2022-01-09 11:42:04.385,2022-01-09 11:54:47.604,18.34467315673828
9,2,9,,"{'loss': 18.426422119140625, 'status': 'ok'}","{'tid': 9, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [9], 'div_factor': [9], 'loss_fn': [9], 'max_lighting': [9], 'max_rotate': [9], 'max_warp': [9], 'max_zoom': [9], 'model': [9], 'mom1': [9], 'mom2': [9], 'p_affine': [9], 'size': [9], 'weight_dec': [9]}, 'vals': {'a': [0], 'div_factor': [27.590766036790125], 'loss_fn': [0], 'max_lighting': [0.1616837050209506], 'max_rotate': [282.77310288636806], 'max_warp': [0.9723330125340063], 'max_zoom': [2.9837381479192886], 'model': [0], 'mom1': [0.693614949154936], 'mom2': [0.8829326044807009], 'p_affine': [0.7792303446182455], 'size': [0], 'weight_dec': [0.7381901051173033]}}",,,0,2022-01-09 11:54:47.607,2022-01-09 12:07:30.951,18.426422119140625
10,2,10,,"{'loss': 17.58218765258789, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [10], 'div_factor': [10], 'loss_fn': [10], 'max_lighting': [10], 'max_rotate': [10], 'max_warp': [10], 'max_zoom': [10], 'model': [10], 'mom1': [10], 'mom2': [10], 'p_affine': [10], 'size': [10], 'weight_dec': [10]}, 'vals': {'a': [0], 'div_factor': [65.00201902254436], 'loss_fn': [0], 'max_lighting': [0.012288441672062259], 'max_rotate': [56.27071164940314], 'max_warp': [0.4621572411400346], 'max_zoom': [2.2599828744972417], 'model': [2], 'mom1': [0.6717155139469032], 'mom2': [0.9728011088074253], 'p_affine': [0.865759253372507], 'size': [2], 'weight_dec': [0.09156216371021775]}}",,,0,2022-01-09 12:07:30.955,2022-01-09 12:23:52.517,17.58218765258789
11,2,11,,"{'loss': 17.838623046875, 'status': 'ok'}","{'tid': 11, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [11], 'div_factor': [11], 'loss_fn': [11], 'max_lighting': [11], 'max_rotate': [11], 'max_warp': [11], 'max_zoom': [11], 'model': [11], 'mom1': [11], 'mom2': [11], 'p_affine': [11], 'size': [11], 'weight_dec': [11]}, 'vals': {'a': [0], 'div_factor': [89.6088608683247], 'loss_fn': [0], 'max_lighting': [0.3834192507969817], 'max_rotate': [314.5981809513455], 'max_warp': [0.6137613600144267], 'max_zoom': [1.3985594644734753], 'model': [2], 'mom1': [0.8469500829331169], 'mom2': [0.9856244108541735], 'p_affine': [0.8073726676172501], 'size': [1], 'weight_dec': [0.08111260440021835]}}",,,0,2022-01-09 12:23:52.521,2022-01-09 12:37:25.079,17.838623046875
12,2,12,,"{'loss': 17.940134048461914, 'status': 'ok'}","{'tid': 12, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [12], 'div_factor': [12], 'loss_fn': [12], 'max_lighting': [12], 'max_rotate': [12], 'max_warp': [12], 'max_zoom': [12], 'model': [12], 'mom1': [12], 'mom2': [12], 'p_affine': [12], 'size': [12], 'weight_dec': [12]}, 'vals': {'a': [0], 'div_factor': [75.29721947358178], 'loss_fn': [0], 'max_lighting': [0.6204989016580518], 'max_rotate': [326.8651769459791], 'max_warp': [0.7155977214081852], 'max_zoom': [1.382628115903778], 'model': [0], 'mom1': [0.793402372761773], 'mom2': [0.9326886415234833], 'p_affine': [0.45540998140239836], 'size': [1], 'weight_dec': [0.683630949102616]}}",,,0,2022-01-09 12:37:25.083,2022-01-09 12:50:45.457,17.940134048461914
13,2,13,,"{'loss': 18.066431045532227, 'status': 'ok'}","{'tid': 13, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [13], 'div_factor': [13], 'loss_fn': [13], 'max_lighting': [13], 'max_rotate': [13], 'max_warp': [13], 'max_zoom': [13], 'model': [13], 'mom1': [13], 'mom2': [13], 'p_affine': [13], 'size': [13], 'weight_dec': [13]}, 'vals': {'a': [0], 'div_factor': [2.0548669857713247], 'loss_fn': [0], 'max_lighting': [0.5606307890474845], 'max_rotate': [189.84510105480808], 'max_warp': [0.5677542653018905], 'max_zoom': [1.513332284869811], 'model': [0], 'mom1': [0.650225571473884], 'mom2': [0.8856480660834946], 'p_affine': [0.8542610363581752], 'size': [1], 'weight_dec': [0.03642260346008548]}}",,,0,2022-01-09 12:50:45.460,2022-01-09 13:04:08.962,18.066431045532227
14,2,14,,"{'loss': 18.3739013671875, 'status': 'ok'}","{'tid': 14, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [14], 'div_factor': [14], 'loss_fn': [14], 'max_lighting': [14], 'max_rotate': [14], 'max_warp': [14], 'max_zoom': [14], 'model': [14], 'mom1': [14], 'mom2': [14], 'p_affine': [14], 'size': [14], 'weight_dec': [14]}, 'vals': {'a': [0], 'div_factor': [93.16036206566683], 'loss_fn': [1], 'max_lighting': [0.5203409214536787], 'max_rotate': [307.2894981371988], 'max_warp': [0.1479807364544954], 'max_zoom': [2.1857017116186825], 'model': [1], 'mom1': [0.5302343238529825], 'mom2': [0.8896997454358543], 'p_affine': [0.13232255029132609], 'size': [0], 'weight_dec': [0.4152285297914008]}}",,,0,2022-01-09 13:04:08.966,2022-01-09 13:16:53.119,18.3739013671875
15,2,15,,"{'loss': 17.593399047851562, 'status': 'ok'}","{'tid': 15, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [15], 'div_factor': [15], 'loss_fn': [15], 'max_lighting': [15], 'max_rotate': [15], 'max_warp': [15], 'max_zoom': [15], 'model': [15], 'mom1': [15], 'mom2': [15], 'p_affine': [15], 'size': [15], 'weight_dec': [15]}, 'vals': {'a': [0], 'div_factor': [90.93013973421915], 'loss_fn': [0], 'max_lighting': [0.02043034848225514], 'max_rotate': [292.03953020258507], 'max_warp': [0.47310123192128334], 'max_zoom': [1.2314160494270547], 'model': [2], 'mom1': [0.7032638734729924], 'mom2': [0.9421392906951579], 'p_affine': [0.837961382875402], 'size': [2], 'weight_dec': [0.6202501504206334]}}",,,0,2022-01-09 13:16:53.122,2022-01-09 13:33:21.693,17.593399047851562
16,2,16,,"{'loss': 17.775251388549805, 'status': 'ok'}","{'tid': 16, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [16], 'div_factor': [16], 'loss_fn': [16], 'max_lighting': [16], 'max_rotate': [16], 'max_warp': [16], 'max_zoom': [16], 'model': [16], 'mom1': [16], 'mom2': [16], 'p_affine': [16], 'size': [16], 'weight_dec': [16]}, 'vals': {'a': [0], 'div_factor': [42.00169507803779], 'loss_fn': [0], 'max_lighting': [0.7869050872030581], 'max_rotate': [40.03699429936326], 'max_warp': [0.8268673086028135], 'max_zoom': [1.9867064106747239], 'model': [2], 'mom1': [0.7828957891473145], 'mom2': [0.8679197227560619], 'p_affine': [0.32151095908718574], 'size': [1], 'weight_dec': [0.5586836623332896]}}",,,0,2022-01-09 13:33:21.697,2022-01-09 13:46:54.581,17.775251388549805
17,2,17,,"{'loss': 17.86704444885254, 'status': 'ok'}","{'tid': 17, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [17], 'div_factor': [17], 'loss_fn': [17], 'max_lighting': [17], 'max_rotate': [17], 'max_warp': [17], 'max_zoom': [17], 'model': [17], 'mom1': [17], 'mom2': [17], 'p_affine': [17], 'size': [17], 'weight_dec': [17]}, 'vals': {'a': [0], 'div_factor': [76.64740325398587], 'loss_fn': [1], 'max_lighting': [0.32415337704127034], 'max_rotate': [83.01957415660365], 'max_warp': [0.3764954911125987], 'max_zoom': [2.2081765586854463], 'model': [0], 'mom1': [0.7810360766753215], 'mom2': [0.8628794239031438], 'p_affine': [0.35025274154621944], 'size': [1], 'weight_dec': [0.9798671205159327]}}",,,0,2022-01-09 13:46:54.584,2022-01-09 14:00:14.019,17.86704444885254
18,2,18,,"{'loss': 17.821413040161133, 'status': 'ok'}","{'tid': 18, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [18], 'div_factor': [18], 'loss_fn': [18], 'max_lighting': [18], 'max_rotate': [18], 'max_warp': [18], 'max_zoom': [18], 'model': [18], 'mom1': [18], 'mom2': [18], 'p_affine': [18], 'size': [18], 'weight_dec': [18]}, 'vals': {'a': [0], 'div_factor': [39.21047113627384], 'loss_fn': [1], 'max_lighting': [0.6070090991460397], 'max_rotate': [100.51591565341091], 'max_warp': [0.6105924686819466], 'max_zoom': [2.2757219131849764], 'model': [0], 'mom1': [0.7255968609239409], 'mom2': [0.9227982421086269], 'p_affine': [0.18374721177062292], 'size': [1], 'weight_dec': [0.7266548640720959]}}",,,0,2022-01-09 14:00:14.023,2022-01-09 14:13:40.618,17.821413040161133
19,2,19,,"{'loss': 17.750581741333008, 'status': 'ok'}","{'tid': 19, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [19], 'div_factor': [19], 'loss_fn': [19], 'max_lighting': [19], 'max_rotate': [19], 'max_warp': [19], 'max_zoom': [19], 'model': [19], 'mom1': [19], 'mom2': [19], 'p_affine': [19], 'size': [19], 'weight_dec': [19]}, 'vals': {'a': [0], 'div_factor': [64.78588140941918], 'loss_fn': [1], 'max_lighting': [0.6047012834758249], 'max_rotate': [10.947014929040378], 'max_warp': [0.6916321422109492], 'max_zoom': [2.0345347263762177], 'model': [2], 'mom1': [0.5299692736795206], 'mom2': [0.8937933019807899], 'p_affine': [0.2367737002700732], 'size': [1], 'weight_dec': [0.04193916710854517]}}",,,0,2022-01-09 14:13:40.621,2022-01-09 14:27:14.518,17.750581741333008
20,2,20,,"{'loss': 17.5461368560791, 'status': 'ok'}","{'tid': 20, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [20], 'div_factor': [20], 'loss_fn': [20], 'max_lighting': [20], 'max_rotate': [20], 'max_warp': [20], 'max_zoom': [20], 'model': [20], 'mom1': [20], 'mom2': [20], 'p_affine': [20], 'size': [20], 'weight_dec': [20]}, 'vals': {'a': [0], 'div_factor': [79.02319872756209], 'loss_fn': [0], 'max_lighting': [0.03386251258110906], 'max_rotate': [236.2144032160113], 'max_warp': [0.45186278706993815], 'max_zoom': [2.6517342538062465], 'model': [2], 'mom1': [0.8269792083017725], 'mom2': [0.9859308455065745], 'p_affine': [0.6449440480771671], 'size': [2], 'weight_dec': [0.2782030408785707]}}",,,0,2022-01-09 14:27:14.536,2022-01-09 14:43:34.508,17.5461368560791
21,2,21,,"{'loss': 17.502971649169922, 'status': 'ok'}","{'tid': 21, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [21], 'div_factor': [21], 'loss_fn': [21], 'max_lighting': [21], 'max_rotate': [21], 'max_warp': [21], 'max_zoom': [21], 'model': [21], 'mom1': [21], 'mom2': [21], 'p_affine': [21], 'size': [21], 'weight_dec': [21]}, 'vals': {'a': [0], 'div_factor': [59.26660882072116], 'loss_fn': [0], 'max_lighting': [0.004571203196927683], 'max_rotate': [249.76873911612097], 'max_warp': [0.2607212687224874], 'max_zoom': [2.7663913662168693], 'model': [2], 'mom1': [0.8331543606256994], 'mom2': [0.9866694146828521], 'p_affine': [0.648370478550983], 'size': [2], 'weight_dec': [0.22428319302033672]}}",,,0,2022-01-09 14:43:34.520,2022-01-09 14:59:42.388,17.502971649169922
22,2,22,,"{'loss': 17.57277488708496, 'status': 'ok'}","{'tid': 22, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [22], 'div_factor': [22], 'loss_fn': [22], 'max_lighting': [22], 'max_rotate': [22], 'max_warp': [22], 'max_zoom': [22], 'model': [22], 'mom1': [22], 'mom2': [22], 'p_affine': [22], 'size': [22], 'weight_dec': [22]}, 'vals': {'a': [0], 'div_factor': [55.16716601012553], 'loss_fn': [0], 'max_lighting': [0.13298887300907283], 'max_rotate': [244.70296887669298], 'max_warp': [0.0182997194931932], 'max_zoom': [2.9709001043790293], 'model': [2], 'mom1': [0.8476907014698187], 'mom2': [0.9876903383819114], 'p_affine': [0.6072831140334127], 'size': [2], 'weight_dec': [0.25108754218493007]}}",,,0,2022-01-09 14:59:42.400,2022-01-09 15:15:49.242,17.57277488708496
23,2,23,,"{'loss': 17.56132698059082, 'status': 'ok'}","{'tid': 23, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [23], 'div_factor': [23], 'loss_fn': [23], 'max_lighting': [23], 'max_rotate': [23], 'max_warp': [23], 'max_zoom': [23], 'model': [23], 'mom1': [23], 'mom2': [23], 'p_affine': [23], 'size': [23], 'weight_dec': [23]}, 'vals': {'a': [0], 'div_factor': [76.69344684229804], 'loss_fn': [0], 'max_lighting': [0.08553211300617154], 'max_rotate': [235.85268559648995], 'max_warp': [0.21884650456605106], 'max_zoom': [2.664958266811245], 'model': [2], 'mom1': [0.8186991862286973], 'mom2': [0.9713218596676492], 'p_affine': [0.5743354874394173], 'size': [2], 'weight_dec': [0.19858494394283094]}}",,,0,2022-01-09 15:15:49.254,2022-01-09 15:32:00.139,17.56132698059082
24,2,24,,"{'loss': 17.619384765625, 'status': 'ok'}","{'tid': 24, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [24], 'div_factor': [24], 'loss_fn': [24], 'max_lighting': [24], 'max_rotate': [24], 'max_warp': [24], 'max_zoom': [24], 'model': [24], 'mom1': [24], 'mom2': [24], 'p_affine': [24], 'size': [24], 'weight_dec': [24]}, 'vals': {'a': [0], 'div_factor': [58.679704772414816], 'loss_fn': [0], 'max_lighting': [0.23706668367482017], 'max_rotate': [244.56184931812447], 'max_warp': [0.010933154887176999], 'max_zoom': [2.7878522781401256], 'model': [2], 'mom1': [0.8207048107491324], 'mom2': [0.9130864579539503], 'p_affine': [0.6864308707975354], 'size': [2], 'weight_dec': [0.2697693233009346]}}",,,0,2022-01-09 15:32:00.151,2022-01-09 15:48:04.981,17.619384765625
25,2,25,,"{'loss': 17.515745162963867, 'status': 'ok'}","{'tid': 25, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [25], 'div_factor': [25], 'loss_fn': [25], 'max_lighting': [25], 'max_rotate': [25], 'max_warp': [25], 'max_zoom': [25], 'model': [25], 'mom1': [25], 'mom2': [25], 'p_affine': [25], 'size': [25], 'weight_dec': [25]}, 'vals': {'a': [0], 'div_factor': [99.77751055742729], 'loss_fn': [0], 'max_lighting': [0.009753572965867142], 'max_rotate': [205.35009046187324], 'max_warp': [0.1410428508734977], 'max_zoom': [2.484074949786751], 'model': [2], 'mom1': [0.7412530306131146], 'mom2': [0.9717102431251328], 'p_affine': [0.6018491881090673], 'size': [2], 'weight_dec': [0.3830128856349141]}}",,,0,2022-01-09 15:48:04.993,2022-01-09 16:04:44.048,17.515745162963867
26,2,26,,"{'loss': 17.460851669311523, 'status': 'ok'}","{'tid': 26, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [26], 'div_factor': [26], 'loss_fn': [26], 'max_lighting': [26], 'max_rotate': [26], 'max_warp': [26], 'max_zoom': [26], 'model': [26], 'mom1': [26], 'mom2': [26], 'p_affine': [26], 'size': [26], 'weight_dec': [26]}, 'vals': {'a': [0], 'div_factor': [1.6043067786085103], 'loss_fn': [0], 'max_lighting': [0.2391272797023367], 'max_rotate': [208.78583621669668], 'max_warp': [0.10510357270731724], 'max_zoom': [2.4716600773278135], 'model': [1], 'mom1': [0.7412407050621035], 'mom2': [0.9707736130395528], 'p_affine': [0.5694889423615632], 'size': [2], 'weight_dec': [0.3806114553011142]}}",,,0,2022-01-09 16:04:44.061,2022-01-09 16:20:14.863,17.460851669311523
27,2,27,,"{'loss': 17.525604248046875, 'status': 'ok'}","{'tid': 27, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [27], 'div_factor': [27], 'loss_fn': [27], 'max_lighting': [27], 'max_rotate': [27], 'max_warp': [27], 'max_zoom': [27], 'model': [27], 'mom1': [27], 'mom2': [27], 'p_affine': [27], 'size': [27], 'weight_dec': [27]}, 'vals': {'a': [0], 'div_factor': [5.858170603614511], 'loss_fn': [0], 'max_lighting': [0.25184249209388093], 'max_rotate': [144.2985318064484], 'max_warp': [0.10255886261826788], 'max_zoom': [2.77532809570345], 'model': [1], 'mom1': [0.7265398581539243], 'mom2': [0.9600997698873615], 'p_affine': [0.5253273834718387], 'size': [2], 'weight_dec': [0.18560636368127673]}}",,,0,2022-01-09 16:20:14.875,2022-01-09 16:35:45.947,17.525604248046875
28,2,28,,"{'loss': 17.583362579345703, 'status': 'ok'}","{'tid': 28, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [28], 'div_factor': [28], 'loss_fn': [28], 'max_lighting': [28], 'max_rotate': [28], 'max_warp': [28], 'max_zoom': [28], 'model': [28], 'mom1': [28], 'mom2': [28], 'p_affine': [28], 'size': [28], 'weight_dec': [28]}, 'vals': {'a': [0], 'div_factor': [15.315905496461582], 'loss_fn': [0], 'max_lighting': [0.416664574019164], 'max_rotate': [353.3651739332836], 'max_warp': [0.24580533209616193], 'max_zoom': [2.4063677277297133], 'model': [1], 'mom1': [0.803834860616856], 'mom2': [0.9096923699657377], 'p_affine': [0.706178672020972], 'size': [2], 'weight_dec': [0.32288900864250036]}}",,,0,2022-01-09 16:35:45.960,2022-01-09 16:51:29.087,17.583362579345703
29,2,29,,"{'loss': 17.521713256835938, 'status': 'ok'}","{'tid': 29, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'a': [29], 'div_factor': [29], 'loss_fn': [29], 'max_lighting': [29], 'max_rotate': [29], 'max_warp': [29], 'max_zoom': [29], 'model': [29], 'mom1': [29], 'mom2': [29], 'p_affine': [29], 'size': [29], 'weight_dec': [29]}, 'vals': {'a': [0], 'div_factor': [28.94485232914341], 'loss_fn': [0], 'max_lighting': [0.08692066774248747], 'max_rotate': [268.5028900085912], 'max_warp': [0.05932937266743724], 'max_zoom': [2.85265268624758], 'model': [1], 'mom1': [0.7535710525303156], 'mom2': [0.9780301796329024], 'p_affine': [0.3910153428314854], 'size': [2], 'weight_dec': [0.433538159004604]}}",,,0,2022-01-09 16:51:29.099,2022-01-09 17:07:01.877,17.521713256835938
